preview ,imageSrc ,audioUrl 
Robin,images/robin.jpg,songs/sound-effect-robin-singing-148333.mp3
Blackbird,images/blackbird.jpg,songs/blackbird-singing-296516.mp3
Magpie,images/magpie.jpg,songs/magpie.mp3
Herring Gull,images/herring-gull.jpg,songs/herring-gull.mp3
Song Thrush,images/song-thrush.jpg,songs/song-thrush-27669.mp3
Wren,images/wren.jpg,songs/110714_wren-77591.mp3
Blue Tit,images/blue-tit.jpg,songs/blue-tit.mp3
Goldfinch,images/goldfinch.jpg,songs/goldfinch-77328.mp3
Great Tit,images/great-tit.jpg,songs/great-tit-69606.mp3
Swallow,images/swallow.jpg,songs/swallow.mp3
Swift,images/swift.jpg,songs/swift.mp3
Wood Pigeon,images/wood-pigeon.jpg,songs/wood_pigeon.mp3
